name,classification,actor,director,score,year
天空之眼 Eye in the Sky,"剧情,战争","海伦·米伦,亚伦·保尔,艾伦·瑞克曼,巴克德·阿巴蒂,杰瑞米·诺森,伊恩·格雷,菲比·福克斯,阿曼·哈格伊,艾莎·塔蔻,理查德·麦凯布,卡尔·伯克斯,金·英吉尔布瑞奇,加文·胡德,约翰·赫夫南",加文·胡德,7.9,2015
头脑特工队 Inside Out,"喜剧,动画,家庭,冒险","艾米·波勒,菲利丝·史密斯,理查德·坎德,比尔·哈德尔,刘易斯·布莱克,敏迪·卡灵,凯特林·迪亚斯,戴安·琳恩,凯尔·麦克拉克伦,波拉·庞德斯通,鲍比·莫尼汉,宝拉·佩尔,大卫·戈尔兹,弗兰克·奥兹,乔什·库雷,弗利,约翰·拉岑贝格,卡洛斯·阿拉斯拉奇,皮特·萨加尔,拉什达·琼斯,罗里·艾伦,约翰·齐甘,雪莉·琳恩,拉瑞恩·纽曼,帕丽斯·冯·戴克","彼特·道格特,罗纳尔多·德尔·卡门",8.7,2015
海街日记 海街diary,"剧情,家庭","绫濑遥,长泽雅美,夏帆,广濑铃,大竹忍,堤真一,加濑亮,风吹淳,中川雅也,前田旺志郎 ,铃木亮平,坂口健太郎,树木希林",是枝裕和,8.6,2015
大空头 The Big Short,"剧情,传记","克里斯蒂安·贝尔,史蒂夫·卡瑞尔,瑞恩·高斯林,布拉德·皮特,梅丽莎·里奥,约翰·马加罗,拉菲·斯波,杰瑞米·斯特朗,芬·维特洛克,玛丽莎·托梅,崔西·莱茨,文峰,阿德普波·奥杜耶,凯伦·吉兰,马克思·格林菲尔德,比利·马格努森,玛格特·罗比,理查德·塞勒,赛琳娜·戈麦斯",亚当·麦凯,8.3,2015
房间 Room,"剧情,家庭","布丽·拉尔森,雅各布·特伦布莱,琼·艾伦,肖恩·布里吉格斯,威廉姆·H·梅西,梅根·帕克,阿曼达·布鲁盖尔,卡斯·安瓦尔,乔·平格,温迪·古逊,兰道尔·爱德华,杰克·富尔顿,汤姆·麦卡穆斯",伦尼·阿伯拉罕森,8.8,2015
地雷区 Under sandet,"剧情,历史,战争","罗兰·默勒,米克尔·福尔斯加德,路易斯·霍夫曼,乔尔·巴斯曼,艾米尔·贝尔顿,奥斯卡·贝尔顿,奥斯卡·柏克曼,莱昂·赛德尔,劳拉·布罗,马德斯·瑞艾森",马丁·赞里维特,8.5,2015
踏血寻梅 踏血尋梅,"剧情,悬疑,犯罪","郭富城,春夏,白只,谭耀文,金燕玲,邵美琪,李逸朗,杨诗敏,蔡洁,吴嘉星,何卓霖,艾迪,谭炳文,梁小冰,车保罗,太保",翁子光,7.3,2015
朝5晚9：帅气和尚爱上我 5→9 ～私に恋したお坊さん～,"喜剧,爱情","石原里美,山下智久,田中圭,高梨临,纱荣子,速水直道,古川雄辉,吉本实忧,长妻怜央,恒松祐里,寺田心,中村安奈,户田惠子,上岛龙兵,小野武彦,加贺麻理子,高田彪我,志尊淳",平野真,7.4,2015
小黄人大眼萌 Minions,"喜剧,动画","桑德拉·布洛克,乔恩·哈姆,迈克尔·基顿,艾莉森·珍妮,史蒂夫·库根,珍妮弗·桑德斯,杰弗里·拉什,史蒂夫·卡瑞尔,皮艾尔·柯芬,凯蒂·米克松,迈克尔·贝亚蒂,真田广之,大卫·罗森鲍姆,亚历克斯·道丁,保罗·索恩利","凯尔·巴尔达,皮艾尔·柯芬",7.3,2015
出道大作战 SEVENTEEN PROJECT,真人秀,,"崔胜澈,尹净汉,洪知秀,文俊辉,权顺荣,全圆佑,李知勋,李硕珉,金珉奎,徐明浩,夫胜宽,崔韩率,李灿",,2015
